,Price,Open,High,Low
2015-01-01,26586.0,26610.0,26647.0,26539.0
2015-01-02,26700.0,26585.0,26740.0,26285.0
2015-01-03,,,,
2015-01-04,,,,
2015-01-05,26847.0,26800.0,26911.0,26650.0
2015-01-06,27385.0,27095.0,27442.0,27094.0
2015-01-07,27159.0,27328.0,27350.0,27110.0
2015-01-08,26808.0,27150.0,27150.0,26770.0
2015-01-09,26806.0,26751.0,26877.0,26680.0
2015-01-10,,,,
2015-01-11,,,,
2015-01-12,27032.0,26865.0,27119.0,26839.0
2015-01-13,27071.0,27118.0,27258.0,27020.0
2015-01-14,27210.0,27013.0,27280.0,26916.0
2015-01-15,27493.0,27150.0,27546.0,26731.0
2015-01-16,27673.0,27540.0,27798.0,27383.0
2015-01-17,27627.0,27627.0,27627.0,27627.0
2015-01-18,,,,
2015-01-19,27718.0,27642.0,27784.0,27633.0
2015-01-20,28098.0,27700.0,28145.0,27700.0
2015-01-21,27992.0,28071.0,28298.0,27850.0
2015-01-22,28055.0,27966.0,28240.0,27762.0
2015-01-23,27884.0,28015.0,28114.0,27813.0
2015-01-24,,,,
2015-01-25,27887.0,27887.0,27887.0,27887.0
2015-01-26,,,,
2015-01-27,27934.0,27815.0,28033.0,27584.0
2015-01-28,27795.0,27896.0,27974.0,27771.0
2015-01-29,27470.0,27782.0,27848.0,27435.0
2015-01-30,27911.0,27540.0,28260.0,27470.0
2015-01-31,,,,
2015-02-01,,,,
2015-02-02,28071.0,28120.0,28197.0,27743.0
2015-02-03,27687.0,28071.0,28079.0,27600.0
2015-02-04,27814.0,27660.0,27835.0,27578.0
2015-02-05,27683.0,27785.0,27900.0,27461.0
2015-02-06,26968.0,27498.0,27598.0,26912.0
2015-02-07,,,,
2015-02-08,,,,
2015-02-09,27119.0,27011.0,27172.0,26996.0
2015-02-10,27016.0,27180.0,27180.0,26984.0
2015-02-11,26817.0,27050.0,27050.0,26770.0
2015-02-12,26635.0,26756.0,26920.0,26620.0
2015-02-13,26694.0,26700.0,26815.0,26642.0
2015-02-14,,,,
2015-02-15,,,,
2015-02-16,26742.0,26720.0,26884.0,26720.0
2015-02-17,26241.0,26722.0,26722.0,26215.0
2015-02-18,26181.0,26280.0,26390.0,26128.0
2015-02-19,26294.0,26260.0,26521.0,26199.0
2015-02-20,26317.0,26337.0,26435.0,26186.0
