,Price,Open,High,Low
2015-01-01,317.218994140625,320.4349975585937,320.4349975585937,314.00299072265625
2015-01-02,314.7019958496094,314.0790100097656,315.8389892578125,313.56500244140625
2015-01-03,298.1159973144531,314.84600830078125,315.1499938964844,281.0820007324219
2015-01-04,272.42100524902344,281.14599609375,287.2300109863281,257.61199951171875
2015-01-05,271.71250915527344,265.0840148925781,278.34100341796875,265.0840148925781
2015-01-06,280.12451171875,274.6109924316406,287.5530090332031,272.6960144042969
2015-01-07,290.91650390625,286.0769958496094,298.7539978027344,283.0790100097656
2015-01-08,288.1549987792969,294.135009765625,294.135009765625,282.17498779296875
2015-01-09,285.82350158691406,282.38299560546875,291.114013671875,280.5329895019531
2015-01-10,281.0465087890625,287.3030090332031,288.12701416015625,273.96600341796875
2015-01-11,272.3385009765625,274.6080017089844,279.63800048828125,265.0390014648437
2015-01-12,268.7015075683594,266.14599609375,272.2030029296875,265.20001220703125
2015-01-13,244.0915069580078,267.3940124511719,268.2770080566406,219.906005859375
2015-01-14,197.70199584960935,223.8939971923828,223.8939971923828,171.50999450683594
2015-01-15,202.9820022583008,176.89700317382812,229.06700134277344,176.89700317382812
2015-01-16,210.68099975585935,209.07000732421875,221.59100341796875,199.77099609375
2015-01-17,203.3030014038086,207.83399963378903,211.7310028076172,194.875
2015-01-18,206.60050201416016,200.0500030517578,218.69500732421875,194.5059967041016
2015-01-19,212.0229949951172,211.4709930419922,216.72799682617188,207.3179931640625
2015-01-20,210.1969985961914,212.9069976806641,215.24099731445312,205.1529998779297
2015-01-21,219.5,211.3780059814453,227.7879943847656,211.2120056152344
2015-01-22,231.72650146484372,227.32200622558597,237.0189971923828,226.4340057373047
2015-01-23,230.02050018310547,233.5169982910156,234.84500122070312,225.1959991455078
2015-01-24,239.11600494384768,232.6999969482422,248.2100067138672,230.02200317382807
2015-01-25,249.4820022583008,247.3520050048828,255.07400512695312,243.88999938964844
2015-01-26,281.7314987182617,254.07899475097656,309.3840026855469,254.07899475097656
2015-01-27,263.0665054321289,273.1669921875,275.4800109863281,250.6529998779297
2015-01-28,246.7905044555664,263.3510131835937,266.5350036621094,227.04600524902344
2015-01-29,229.70899963378903,233.34800720214844,238.70599365234372,220.7120056152344
2015-01-30,234.34500122070312,232.77200317382807,242.8509979248047,225.8390045166016
2015-01-31,224.90650177001956,226.4409942626953,233.5039978027344,216.3090057373047
2015-02-01,221.7945022583008,216.86700439453125,231.57400512695312,212.01499938964844
2015-02-02,232.41699981689453,226.49099731445312,242.1750030517578,222.65899658203125
