,Price,Open,High,Low
2015-01-01,,,,
2015-01-02,53.7,53.7,53.7,53.7
2015-01-03,,,,
2015-01-04,,,,
2015-01-05,49.48,49.48,49.48,49.48
2015-01-06,48.18,48.18,48.18,48.18
2015-01-07,48.23,48.23,48.23,48.23
2015-01-08,48.01,48.01,48.01,48.01
2015-01-09,47.71,47.71,47.71,47.71
2015-01-10,,,,
2015-01-11,,,,
2015-01-12,45.95,45.95,45.95,45.95
2015-01-13,45.36,45.36,45.36,45.36
2015-01-14,46.5,46.5,46.5,46.5
2015-01-15,45.58,45.58,45.58,45.58
2015-01-16,46.12,46.12,46.12,46.12
2015-01-17,,,,
2015-01-18,,,,
2015-01-19,,,,
2015-01-20,45.29,45.29,45.29,45.29
2015-01-21,45.54,45.54,45.54,45.54
2015-01-22,45.4,45.4,45.4,45.4
2015-01-23,45.52,45.52,45.52,45.52
2015-01-24,,,,
2015-01-25,,,,
2015-01-26,45.42,45.42,45.42,45.42
2015-01-27,45.64,45.64,45.64,45.64
2015-01-28,45.53,45.53,45.53,45.53
2015-01-29,45.57,45.57,45.57,45.57
2015-01-30,45.57,45.57,45.57,45.57
2015-01-31,,,,
2015-02-01,,,,
2015-02-02,52.2,52.2,52.2,52.2
2015-02-03,52.89,52.89,52.89,52.89
2015-02-04,54.04,54.04,54.04,54.04
2015-02-05,53.66,53.66,53.66,53.66
2015-02-06,54.48,54.48,54.48,54.48
2015-02-07,,,,
2015-02-08,,,,
2015-02-09,54.85,54.85,54.85,54.85
2015-02-10,53.8,53.8,53.8,53.8
2015-02-11,53.28,53.28,53.28,53.28
2015-02-12,55.22,55.22,55.22,55.22
2015-02-13,55.85,55.85,55.85,55.85
2015-02-14,,,,
2015-02-15,,,,
2015-02-16,,,,
2015-02-17,56.19,56.19,56.19,56.19
2015-02-18,56.22,56.22,56.22,56.22
2015-02-19,56.22,56.22,56.22,56.22
2015-02-20,56.22,56.22,56.22,56.22
2015-02-21,,,,
2015-02-22,,,,
2015-02-23,55.24,55.24,55.24,55.24
2015-02-24,55.09,55.09,55.09,55.09
2015-02-25,55.46,55.46,55.46,55.46
2015-02-26,55.33,55.33,55.33,55.33
2015-02-27,55.44,55.44,55.44,55.44
2015-02-28,,,,
2015-03-01,,,,
2015-03-02,57.03,57.03,57.03,57.03
2015-03-03,58.67,58.67,58.67,58.67
2015-03-04,58.14,58.14,58.14,58.14
2015-03-05,57.86,57.86,57.86,57.86
2015-03-06,57.41,57.41,57.41,57.41
2015-03-07,,,,
2015-03-08,,,,
2015-03-09,56.63,56.63,56.63,56.63
2015-03-10,55.1,55.1,55.1,55.1
