Date,bitcoin_Price,bitcoin_Open,bitcoin_High,bitcoin_Low,brent-daily_Price,dubai-crude_Price,dubai-crude_Open,dubai-crude_High,dubai-crude_Low,Gold-Price_Price,Gold-Price_Open,Gold-Price_High,Gold-Price_Low,wti-daily_Price
2015-01-01,317.218994140625,320.4349975585937,320.4349975585937,314.00299072265625,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,26586.0,26610.0,26647.0,26539.0,53.14956150341686
2015-01-02,314.7019958496094,314.0790100097656,315.8389892578125,313.56500244140625,55.38,53.7,53.7,53.7,53.7,26700.0,26585.0,26740.0,26285.0,52.72
2015-01-03,298.1159973144531,314.84600830078125,315.1499938964844,281.0820007324219,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-01-04,272.42100524902344,281.14599609375,287.2300109863281,257.61199951171875,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-01-05,271.71250915527344,265.0840148925781,278.34100341796875,265.0840148925781,51.08,49.48,49.48,49.48,49.48,26847.0,26800.0,26911.0,26650.0,50.05
2015-01-06,280.12451171875,274.6109924316406,287.5530090332031,272.6960144042969,50.12,48.18,48.18,48.18,48.18,27385.0,27095.0,27442.0,27094.0,47.98
2015-01-07,290.91650390625,286.0769958496094,298.7539978027344,283.0790100097656,49.06,48.23,48.23,48.23,48.23,27159.0,27328.0,27350.0,27110.0,48.69
2015-01-08,288.1549987792969,294.135009765625,294.135009765625,282.17498779296875,49.43,48.01,48.01,48.01,48.01,26808.0,27150.0,27150.0,26770.0,48.8
2015-01-09,285.82350158691406,282.38299560546875,291.114013671875,280.5329895019531,47.64,47.71,47.71,47.71,47.71,26806.0,26751.0,26877.0,26680.0,48.35
2015-01-10,281.0465087890625,287.3030090332031,288.12701416015625,273.96600341796875,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-01-11,272.3385009765625,274.6080017089844,279.63800048828125,265.0390014648437,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-01-12,268.7015075683594,266.14599609375,272.2030029296875,265.20001220703125,46.9,45.95,45.95,45.95,45.95,27032.0,26865.0,27119.0,26839.0,46.06
2015-01-13,244.0915069580078,267.3940124511719,268.2770080566406,219.906005859375,45.13,45.36,45.36,45.36,45.36,27071.0,27118.0,27258.0,27020.0,45.92
2015-01-14,197.7019958496093,223.8939971923828,223.8939971923828,171.50999450683594,45.82,46.5,46.5,46.5,46.5,27210.0,27013.0,27280.0,26916.0,48.49
2015-01-15,202.9820022583008,176.89700317382812,229.06700134277344,176.89700317382812,47.66,45.58,45.58,45.58,45.58,27493.0,27150.0,27546.0,26731.0,46.37
2015-01-16,210.6809997558593,209.07000732421875,221.59100341796875,199.77099609375,47.38,46.12,46.12,46.12,46.12,27673.0,27540.0,27798.0,27383.0,48.49
2015-01-17,203.3030014038086,207.83399963378903,211.7310028076172,194.875,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,27627.0,27627.0,27627.0,27627.0,53.14956150341686
2015-01-18,206.60050201416016,200.0500030517578,218.69500732421875,194.5059967041016,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-01-19,212.0229949951172,211.4709930419922,216.72799682617188,207.3179931640625,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,27718.0,27642.0,27784.0,27633.0,53.14956150341686
2015-01-20,210.1969985961914,212.9069976806641,215.24099731445312,205.1529998779297,46.49,45.29,45.29,45.29,45.29,28098.0,27700.0,28145.0,27700.0,46.79
2015-01-21,219.5,211.3780059814453,227.7879943847656,211.2120056152344,46.5,45.54,45.54,45.54,45.54,27992.0,28071.0,28298.0,27850.0,47.85
2015-01-22,231.7265014648437,227.322006225586,237.0189971923828,226.4340057373047,46.09,45.4,45.4,45.4,45.4,28055.0,27966.0,28240.0,27762.0,45.93
2015-01-23,230.02050018310547,233.5169982910156,234.84500122070312,225.1959991455078,46.69,45.52,45.52,45.52,45.52,27884.0,28015.0,28114.0,27813.0,45.26
2015-01-24,239.11600494384768,232.6999969482422,248.2100067138672,230.02200317382807,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-01-25,249.4820022583008,247.3520050048828,255.07400512695312,243.88999938964844,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,27887.0,27887.0,27887.0,27887.0,53.14956150341686
2015-01-26,281.7314987182617,254.07899475097656,309.3840026855469,254.07899475097656,46.07,45.42,45.42,45.42,45.42,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,44.8
2015-01-27,263.0665054321289,273.1669921875,275.4800109863281,250.6529998779297,46.55,45.64,45.64,45.64,45.64,27934.0,27815.0,28033.0,27584.0,45.84
2015-01-28,246.7905044555664,263.3510131835937,266.5350036621094,227.04600524902344,47.07,45.53,45.53,45.53,45.53,27795.0,27896.0,27974.0,27771.0,44.08
2015-01-29,229.70899963378903,233.34800720214844,238.7059936523437,220.7120056152344,46.61,45.57,45.57,45.57,45.57,27470.0,27782.0,27848.0,27435.0,44.12
2015-01-30,234.34500122070312,232.77200317382807,242.8509979248047,225.8390045166016,47.52,45.57,45.57,45.57,45.57,27911.0,27540.0,28260.0,27470.0,47.79
2015-01-31,224.9065017700196,226.4409942626953,233.5039978027344,216.3090057373047,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-02-01,221.7945022583008,216.86700439453125,231.57400512695312,212.01499938964844,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-02-02,232.41699981689453,226.49099731445312,242.1750030517578,222.65899658203125,51.74,52.2,52.2,52.2,52.2,28071.0,28120.0,28197.0,27743.0,49.25
2015-02-03,235.22000122070312,237.45399475097656,245.95700073242188,224.4830017089844,54.41,52.89,52.89,52.89,52.89,27687.0,28071.0,28079.0,27600.0,53.04
2015-02-04,225.5855026245117,227.5110015869141,230.05799865722656,221.11300659179688,55.07,54.04,54.04,54.04,54.04,27814.0,27660.0,27835.0,27578.0,48.45
2015-02-05,227.06500244140625,227.6649932861328,239.40499877929688,214.7250061035156,55.98,53.66,53.66,53.66,53.66,27683.0,27785.0,27900.0,27461.0,50.48
2015-02-06,223.3709945678711,216.92300415039065,230.509994506836,216.23199462890625,55.88,54.48,54.48,54.48,54.48,26968.0,27498.0,27598.0,26912.0,51.66
2015-02-07,226.45299530029297,222.63299560546875,230.2989959716797,222.60699462890625,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-02-08,225.25749969482425,227.6929931640625,229.43800354003903,221.0769958496093,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-02-09,220.4980010986328,223.3890075683593,223.9770050048828,217.0189971923828,57.0,54.85,54.85,54.85,54.85,27119.0,27011.0,27172.0,26996.0,52.99
2015-02-10,218.5695037841797,220.2819976806641,221.8070068359375,215.33200073242188,55.79,53.8,53.8,53.8,53.8,27016.0,27180.0,27180.0,26984.0,50.06
2015-02-11,220.7400054931641,219.73199462890625,223.406005859375,218.07400512695312,53.48,53.28,53.28,53.28,53.28,26817.0,27050.0,27050.0,26770.0,48.8
2015-02-12,219.9065017700196,219.2079925537109,222.19900512695312,217.613998413086,56.23,55.22,55.22,55.22,55.22,26635.0,26756.0,26920.0,26620.0,51.17
2015-02-13,230.760498046875,221.968994140625,240.25900268554688,221.26199340820312,60.33,55.85,55.85,55.85,55.85,26694.0,26700.0,26815.0,26642.0,52.66
2015-02-14,247.66800689697263,235.5279998779297,259.8080139160156,235.5279998779297,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-02-15,246.64749908447263,257.5069885253906,265.6109924316406,227.6840057373047,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-02-16,234.27149963378903,234.8249969482422,239.52099609375,229.02200317382807,61.57,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,26742.0,26720.0,26884.0,26720.0,53.14956150341686
2015-02-17,239.04449462890625,233.4219970703125,245.7749938964844,232.31399536132807,60.78,56.19,56.19,56.19,56.19,26241.0,26722.0,26722.0,26215.0,53.56
2015-02-18,238.2955017089844,243.77999877929688,244.25100708007807,232.33999633789065,60.72,56.22,56.22,56.22,56.22,26181.0,26280.0,26390.0,26128.0,52.13
2015-02-19,239.1319961547852,236.4100036621093,242.6719970703125,235.5919952392578,58.78,56.22,56.22,56.22,56.22,26294.0,26260.0,26521.0,26199.0,51.12
2015-02-20,243.1999969482422,240.25100708007807,247.1009979248047,239.2989959716797,60.99,56.22,56.22,56.22,56.22,26317.0,26337.0,26435.0,26186.0,49.95
2015-02-21,249.2520065307617,243.7519989013672,255.32000732421875,243.1840057373047,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,26319.0,26319.0,26319.0,26319.0,53.14956150341686
2015-02-22,240.12149810791016,244.54400634765625,246.3919982910156,233.8509979248047,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-02-23,236.26499938964844,235.9949951171875,240.10899353027344,232.42100524902344,59.78,55.24,55.24,55.24,55.24,26178.0,26281.0,26310.0,26001.0,49.56
2015-02-24,238.15149688720703,238.9980010986328,239.9010009765625,236.4019927978516,60.33,55.09,55.09,55.09,55.09,26077.0,26219.0,26277.0,26015.0,48.48
2015-02-25,237.4349975585937,238.88999938964844,239.33999633789065,235.52999877929688,59.77,55.46,55.46,55.46,55.46,26142.0,26138.0,26343.0,26120.0,50.25
2015-02-26,235.98350524902344,237.3370056152344,237.7100067138672,234.2570037841797,61.39,55.33,55.33,55.33,55.33,26239.0,26200.0,26370.0,26200.0,47.65
2015-02-27,246.5445098876953,236.43600463867188,256.65301513671875,236.43600463867188,61.89,55.44,55.44,55.44,55.44,26206.0,26243.0,26320.0,26132.0,49.84
2015-02-28,252.0855026245117,253.5200042724609,254.69200134277344,249.47900390625,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,26480.0,26111.0,26518.0,26043.0,53.14956150341686
2015-03-01,253.796501159668,254.2830047607422,261.6600036621094,245.93299865722656,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-03-02,267.30699157714844,260.35699462890625,276.3009948730469,258.31298828125,60.75,57.03,57.03,57.03,57.03,26541.0,26508.0,26997.0,26440.0,49.59
2015-03-03,276.97850036621094,275.0459899902344,285.7959899902344,268.1610107421875,61.18,58.67,58.67,58.67,58.67,26453.0,26527.0,26601.0,26400.0,50.43
2015-03-04,276.1755065917969,281.989990234375,284.2250061035156,268.1260070800781,59.18,58.14,58.14,58.14,58.14,26539.0,26500.0,26600.0,26401.0,51.53
2015-03-05,273.21800231933594,272.739013671875,281.6669921875,264.7690124511719,60.33,57.86,57.86,57.86,57.86,26473.0,26510.0,26599.0,26418.0,50.76
2015-03-06,273.81150817871094,275.6000061035156,277.6080017089844,270.0150146484375,59.15,57.41,57.41,57.41,57.41,26058.0,26485.0,26530.0,26025.0,49.61
2015-03-07,273.9934997558594,272.29400634765625,277.85400390625,270.13299560546875,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-03-08,275.2115020751953,276.4330139160156,277.8580017089844,272.56500244140625,56.899349411104886,55.70348097671776,55.70348665530948,55.70348665530948,55.70348665530948,34973.40531561462,34976.84828349944,35166.525470653374,34776.68992248062,53.14956150341686
2015-03-09,283.2969970703125,274.81201171875,292.70098876953125,273.8930053710937,58.67,56.63,56.63,56.63,56.63,26062.0,26096.0,26177.0,26041.0,49.95
2015-03-10,294.8935089111328,289.86199951171875,300.04400634765625,289.7430114746094,55.95,55.1,55.1,55.1,55.1,25960.0,26050.0,26100.0,25825.0,48.42
2015-03-11,293.9494934082031,291.5249938964844,297.3909912109375,290.50799560546875,56.46,55.91,55.91,55.91,55.91,25716.0,25979.0,25996.0,25691.0,48.06
2015-03-12,294.75050354003906,296.12701416015625,297.0880126953125,292.4129943847656,56.66,55.54,55.54,55.54,55.54,25690.0,25750.0,25890.0,25609.0,47.12
2015-03-13,289.91749572753906,294.1180114746094,294.4979858398437,285.3370056152344,54.8,54.36,54.36,54.36,54.36,25909.0,25750.0,25945.0,25750.0,44.88
